disease,synonym_disease,,link,overview,symptoms,remedies,,,,,,,,,,,
clinical depression,depression,major depressive disorder,https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,"Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. Also called major depressive disorder or clinical depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems. You may have trouble doing normal day-to-day activities, and sometimes you may feel as if life isn't worth living.","['Feelings of sadness, tearfulness, emptiness or hopelessness', 'Angry outbursts, irritability or frustration, even over small matters', 'Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports', 'Sleep disturbances, including insomnia or sleeping too much', 'Tiredness and lack of energy, so even small tasks take extra effort', 'Reduced appetite and weight loss or increased cravings for food and weight gain', 'Anxiety, agitation or restlessness', 'Slowed thinking, speaking or body movements', 'Feelings of worthlessness or guilt, fixating on past failures or self-blame', 'Trouble thinking, concentrating, making decisions and remembering things', 'Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide', 'Unexplained physical problems, such as back pain or headaches']","[""Stick to your treatment plan. Don't skip psychotherapy sessions or appointments. Even if you're feeling well, don't skip your medications. If you stop, depression symptoms may come back, and you could also experience withdrawal-like symptoms. Recognize that it will take time to feel better."", 'Learn about depression. Education about your condition can empower you and motivate you to stick to your treatment plan. Encourage your family to learn about depression to help them understand and support you.', 'Pay attention to warning signs. Work with your doctor or therapist to learn what might trigger your depression symptoms. Make a plan so that you know what to do if your symptoms get worse. Contact your doctor or therapist if you notice any changes in symptoms or how you feel. Ask relatives or friends to help watch for warning signs.', 'Avoid alcohol and recreational drugs. It may seem like alcohol or drugs lessen depression symptoms, but in the long run they generally worsen symptoms and make depression harder to treat. Talk with your doctor or therapist if you need help with alcohol or substance use.', ""Take care of yourself. Eat healthy, be physically active and get plenty of sleep. Consider walking, jogging, swimming, gardening or another activity that you enjoy. Sleeping well is important for both your physical and mental well-being. If you're having trouble sleeping, talk to your doctor about what you can do.""]",,,,,,,,,,,
common cold,,,https://www.mayoclinic.org/diseases-conditions/common-cold/symptoms-causes/syc-20351605,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","['Runny or stuffy nose', 'Sore throat', 'Cough', 'Congestion', 'Slight body aches or a mild headache', 'Sneezing', 'Low-grade fever', 'Generally feeling unwell']","['Drink plenty of fluids. Water, juice, clear broth or warm lemon water are good choices. Avoid caffeine and alcohol, which can dehydrate you.', 'Sip warm liquids. Chicken soup and other warm fluids, such as tea or warm apple juice, can be soothing and can loosen congestion. Honey may help coughs in adults and children who are older than age 1. Try it in hot tea.', ""Rest. If possible, stay home from work or school if you have a fever or a bad cough or are drowsy after taking medications. This will give you a chance to rest and heal, as well as reduce the chances that you'll spread your cold to others."", ""Adjust your room's temperature and humidity. Keep your room warm, but not overheated. If the air is dry, a cool-mist humidifier or vaporizer can moisten the air and help ease congestion and coughing. Clean your humidifier according to the manufacturer's directions to prevent the growth of bacteria and molds."", 'Soothe a sore throat. A saltwater gargle of 1/4 to 1/2 teaspoon (1250-2500 milligrams) of table salt in 4 to 8 ounces (120 to 240 milliliters) of warm water can help soothe a sore throat. Gargle the solution and then spit it out. Children younger than 6 years are unlikely to be able to gargle properly.', 'Try saline nasal drops or sprays. Saline nasal drops or sprays can keep nasal passages moist and loosen mucus. You can buy these products over-the-counter, and they can help relieve symptoms, even in children.\nIn infants and younger children, apply saline nasal drops, wait for a short period and then use a suction bulb to draw mucus out of each nostril. Insert the bulb syringe about 1/4 to 1/2 inch (6 to 12 millimeters). For older children, use a saline nasal spray or saline nasal irrigation.']",,,,,,,,,,,
common cold in babies,,,https://www.mayoclinic.org/diseases-conditions/common-cold-in-babies/symptoms-causes/syc-20351651,A common cold is a viral infection of your baby's nose and throat. Nasal congestion and a runny nose are the main signs of a cold.,"['A congested or runny nose', 'Nasal discharge that may be clear at first but might thicken and turn yellow or green']","[""Offer plenty of fluids. Liquids are important to avoid dehydration. Formula or breast milk is the best choice. Encourage your baby to take in the usual amount of fluids. Extra fluids aren't necessary. If you're breastfeeding your baby, keep it up. Breast milk offers extra protection from cold-causing germs."", ""Suction your baby's nose. Keep your baby's nasal passages clear with a rubber-bulb syringe. Squeeze the bulb syringe to expel the air. Then insert the tip of the bulb about 1/4 to 1/2 inch (about 6 to 12 millimeters) into your baby's nostril, pointing toward the back and side of the nose.\nRelease the bulb, holding it in place while it suctions the mucus from your baby's nose. Remove the syringe from your baby's nostril and empty the contents onto a tissue by squeezing the bulb rapidly while holding the tip down. Repeat as often as needed for each nostril. Clean the bulb syringe with soap and water."", ""Try nasal saline drops. Your baby's doctor may recommend saline nasal drops to moisten nasal passages and loosen thick nasal mucus. Look for these OTC drops in your local pharmacy. Apply saline nasal drops, wait for a short period, and then use a suction bulb to draw mucus out of each nostril."", ""Moisten the air. Running a cool-water humidifier in your baby's room can ease nasal congestion. Change the water daily and follow the manufacturer's instructions for cleaning the unit.""]",,,,,,,,,,,
constipation,,,https://www.mayoclinic.org/diseases-conditions/constipation/symptoms-causes/syc-20354253,Chronic constipation is infrequent bowel movements or difficult passage of stools that persists for several weeks or longer.,"['Passing fewer than three stools a week', 'Having lumpy or hard stools', 'Straining to have bowel movements', ""Feeling as though there's a blockage in your rectum that prevents bowel movements"", ""Feeling as though you can't completely empty the stool from your rectum"", 'Needing help to empty your rectum, such as using your hands to press on your abdomen and using a finger to remove stool from your rectum']",[],,,,,,,,,,,
constipation in children,,,https://www.mayoclinic.org/diseases-conditions/constipation-in-children/symptoms-causes/syc-20354242,"Constipation in children is a common problem. A constipated child has infrequent bowel movements or hard, dry stools.","['Less than three bowel movements a week', 'Bowel movements that are hard, dry and difficult to pass', 'Pain while having a bowel movement', 'Stomach pain', ""Traces of liquid or pasty stool in your child's underwear — a sign that stool is backed up in the rectum"", 'Blood on the surface of hard stool']",[],,,,,,,,,,,
corns and calluses,,,https://www.mayoclinic.org/diseases-conditions/corns-and-calluses/symptoms-causes/syc-20355946,"Corns and calluses are thick, hardened layers of skin that develop when the skin tries to protect itself against friction or pressure. They often form on feet and toes or hands and fingers.","['A thick, rough area of skin', 'A hardened, raised bump', 'Tenderness or pain under the skin', 'Flaky, dry or waxy skin']","['Soak your hands or feet. Soaking corns and calluses in warm, soapy water softens them. This can make it easier to remove the thickened skin.', ""Thin thickened skin. Once you've softened the affected skin, rub the corn or callus with a pumice stone, nail file, emery board or washcloth. This helps remove a layer of toughened skin. Don't use a sharp object to trim the skin. Don't use a pumice stone if you have diabetes."", 'Use corn pads. Apply a donut-shaped foam pad to protect the area where a corn or callus formed. Be careful using nonprescription liquid corn removers or medicated corn pads. These contain salicylic acid, which can irritate healthy skin and lead to infection, especially in people with diabetes or other conditions that cause poor blood flow. You can protect healthy skin by applying petroleum jelly (Vaseline) to the area around the corn or callus before using a medicated pad.', 'Moisturize your skin. Use moisturizer on your hands and feet regularly.', 'Wear comfortable shoes and socks. Wear well-fitting, cushioned shoes and socks, at least until your corn or callus disappears.']",,,,,,,,,,,
covid-19,,,https://www.mayoclinic.org/diseases-conditions/coronavirus/symptoms-causes/syc-20479963,"Coronaviruses are a family of viruses that can cause illnesses such as the common cold, severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS). In 2019, a new coronavirus was identified as the cause of a disease outbreak that originated in China.","['Fever', 'Cough', 'Tiredness']",[],,,,,,,,,,,
covid-19,,,https://www.mayoclinic.org/diseases-conditions/coronavirus/symptoms-causes/syc-20479963,"Coronaviruses are a family of viruses that can cause illnesses such as the common cold, severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS). In 2019, a new coronavirus was identified as the cause of a disease outbreak that originated in China.","['Fever', 'Cough', 'Tiredness']",[],,,,,,,,,,,
covid-19,,,https://www.mayoclinic.org/diseases-conditions/mis-c-in-kids-covid-19/symptoms-causes/syc-20502550,"Multisystem inflammatory syndrome in children (MIS-C) is a serious condition that appears to be linked to coronavirus disease 2019 (COVID-19). Most children who become infected with the COVID-19 virus have only a mild illness. But in children who go on to develop MIS-C, some organs and tissues — such as the heart, lungs, blood vessels, kidneys, digestive system, brain, skin or eyes — become severely inflamed. Signs and symptoms depend on which areas of the body are affected.","['Fever that lasts 24 hours or longer', 'Vomiting', 'Diarrhea', 'Pain in the stomach', 'Skin rash', 'Feeling unusually tired', 'Fast heartbeat', 'Rapid breathing', 'Red eyes', 'Redness or swelling of the lips and tongue', 'Redness or swelling of the hands or feet', 'Headache, dizziness or lightheadedness', 'Enlarged lymph nodes']",[],,,,,,,,,,,
muscle cramp,,,https://www.mayoclinic.org/diseases-conditions/muscle-cramp/symptoms-causes/syc-20350820,"A muscle cramp is a sudden and involuntary contraction of one or more of your muscles. If you've ever been awakened in the night or stopped in your tracks by a sudden charley horse, you know that muscle cramps can cause severe pain. Though generally harmless, muscle cramps can make it temporarily impossible to use the affected muscle.","['Cause severe discomfort', 'Are associated with leg swelling, redness or skin changes', 'Are associated with muscle weakness', 'Happen frequently', ""Don't improve with self-care"", ""Aren't associated with an obvious cause, such as strenuous exercise""]","[""Stretch and massage. Stretch the cramped muscle and gently rub it to help it relax. For a calf cramp, put your weight on your cramped leg and bend your knee slightly. If you're unable to stand, sit on the floor or in a chair with your affected leg extended.\nTry pulling the top of your foot on the affected side toward your head while your leg remains in a straightened position. This will also help ease a back thigh (hamstring) cramp. For a front thigh (quadriceps) cramp, use a chair to steady yourself and try pulling your foot on the affected side up toward your buttock."", 'Apply heat or cold. Use a warm towel or heating pad on tense or tight muscles. Taking a warm bath or directing the stream of a hot shower onto the cramped muscle also can help. Alternatively, massaging the cramped muscle with ice may relieve pain.']",,,,,,,,,,,
menstrual cramps,,,https://www.mayoclinic.org/diseases-conditions/menstrual-cramps/symptoms-causes/syc-20374938,Menstrual cramps (dysmenorrhea) are throbbing or cramping pains in the lower abdomen. Many women have menstrual cramps just before and during their menstrual periods.,"['Throbbing or cramping pain in your lower abdomen that can be intense', 'Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days', 'Dull, continuous ache', 'Pain that radiates to your lower back and thighs']","['Exercise regularly. Physical activity, including sex, helps ease menstrual cramps for some women.', 'Use heat. Soaking in a hot bath or using a heating pad, hot water bottle or heat patch on your lower abdomen might ease menstrual cramps.', 'Try dietary supplements. A number of studies have indicated that vitamin E, omega-3 fatty acids, vitamin B-1 (thiamin), vitamin B-6 and magnesium supplements might reduce menstrual cramps.', 'Reduce stress. Psychological stress might increase your risk of menstrual cramps and their severity.']",,,,,,,,,,,
dandruff,,,https://www.mayoclinic.org/diseases-conditions/dandruff/symptoms-causes/syc-20353850,Dandruff is a common condition that causes the skin on the scalp to flake. It isn't contagious or serious. But it can be embarrassing and difficult to treat.,"['Skin flakes on your scalp, hair, eyebrows, beard or mustache, and shoulders', 'Itchy scalp', 'Scaly, crusty scalp in infants with cradle cap']","['Learn to manage stress. Stress affects your overall health, making you susceptible to a number of conditions and diseases. It can even help trigger dandruff or worsen existing symptoms.', 'Eat a healthy diet. A diet that provides enough zinc, B vitamins and certain types of fats may help prevent dandruff.', 'Develop a hair and scalp care routine that suits you. If you tend to have an oily scalp, daily shampooing may help prevent dandruff. Gently massage your scalp to loosen flakes. Rinse thoroughly. If your hair tends to be dry and your scalp is sensitive, shampoo less frequently and condition your scalp between washings (Design Essentials, Melanin Haircare, ScalpBliss).', ""Get a little sun. Sunlight may be good for controlling dandruff. But because exposure to ultraviolet light damages your skin and increases your risk of skin cancer, don't sunbathe. Instead, just spend a little time outdoors. And be sure to wear sunscreen on your face and body."", 'Limit hair-styling products. Hair-styling products can build up on your hair and scalp, making them oilier.']",,,,,,,,,,,
dengue fever,,,https://www.mayoclinic.org/diseases-conditions/dengue-fever/symptoms-causes/syc-20353078,"Dengue (DENG-gey) fever is a mosquito-borne illness that occurs in tropical and subtropical areas of the world. Mild dengue fever causes a high fever and flu-like symptoms. The severe form of dengue fever, also called dengue hemorrhagic fever, can cause serious bleeding, a sudden drop in blood pressure (shock) and death.","['Headache', 'Muscle, bone or joint pain', 'Nausea', 'Vomiting', 'Pain behind the eyes', 'Swollen glands', 'Rash']",[],,,,,,,,,,,
depression,major depressive disorder,,https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,"Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. Also called major depressive disorder or clinical depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems. You may have trouble doing normal day-to-day activities, and sometimes you may feel as if life isn't worth living.","['Feelings of sadness, tearfulness, emptiness or hopelessness', 'Angry outbursts, irritability or frustration, even over small matters', 'Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports', 'Sleep disturbances, including insomnia or sleeping too much', 'Tiredness and lack of energy, so even small tasks take extra effort', 'Reduced appetite and weight loss or increased cravings for food and weight gain', 'Anxiety, agitation or restlessness', 'Slowed thinking, speaking or body movements', 'Feelings of worthlessness or guilt, fixating on past failures or self-blame', 'Trouble thinking, concentrating, making decisions and remembering things', 'Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide', 'Unexplained physical problems, such as back pain or headaches']","[""Stick to your treatment plan. Don't skip psychotherapy sessions or appointments. Even if you're feeling well, don't skip your medications. If you stop, depression symptoms may come back, and you could also experience withdrawal-like symptoms. Recognize that it will take time to feel better."", 'Learn about depression. Education about your condition can empower you and motivate you to stick to your treatment plan. Encourage your family to learn about depression to help them understand and support you.', 'Pay attention to warning signs. Work with your doctor or therapist to learn what might trigger your depression symptoms. Make a plan so that you know what to do if your symptoms get worse. Contact your doctor or therapist if you notice any changes in symptoms or how you feel. Ask relatives or friends to help watch for warning signs.', 'Avoid alcohol and recreational drugs. It may seem like alcohol or drugs lessen depression symptoms, but in the long run they generally worsen symptoms and make depression harder to treat. Talk with your doctor or therapist if you need help with alcohol or substance use.', ""Take care of yourself. Eat healthy, be physically active and get plenty of sleep. Consider walking, jogging, swimming, gardening or another activity that you enjoy. Sleeping well is important for both your physical and mental well-being. If you're having trouble sleeping, talk to your doctor about what you can do.""]",,,,,,,,,,,
depression,teen depression,,https://www.mayoclinic.org/diseases-conditions/teen-depression/symptoms-causes/syc-20350985,"Teen depression is a serious mental health problem that causes a persistent feeling of sadness and loss of interest in activities. It affects how your teenager thinks, feels and behaves, and it can cause emotional, functional and physical problems. Although depression can occur at any time in life, symptoms may be different between teens and adults.","['Feelings of sadness, which can include crying spells for no apparent reason', 'Frustration or feelings of anger, even over small matters', 'Feeling hopeless or empty', 'Irritable or annoyed mood', 'Loss of interest or pleasure in usual activities', 'Loss of interest in, or conflict with, family and friends', 'Low self-esteem', 'Feelings of worthlessness or guilt', 'Fixation on past failures or exaggerated self-blame or self-criticism', 'Extreme sensitivity to rejection or failure, and the need for excessive reassurance', 'Trouble thinking, concentrating, making decisions and remembering things', 'Ongoing sense that life and the future are grim and bleak', 'Frequent thoughts of death, dying or suicide']","[""Stick to the treatment plan. Make sure your teen attends appointments, even if he or she doesn't feel like going. Even if your teen is feeling well, make sure he or she continues to take medications as prescribed. If your teen stops taking medications, depression symptoms may come back. And quitting suddenly may cause withdrawal-like symptoms."", ""Learn about depression. Education can empower your teen and motivate him or her to stick to a treatment plan. It can also benefit you and other loved ones to learn about depression and understand that it's a treatable condition."", ""Encourage communication with your teen. Talk to your teen about the changes you're observing and emphasize your unconditional support. Create an environment where your teen can share concerns while you listen."", ""Pay attention to warning signs. Work with your teen's doctor or therapist to learn what might trigger depression symptoms. Make a plan so that you and your teen know what to do if symptoms get worse. Ask family members or friends to help watch for warning signs."", 'Help your teen adopt healthy habits. Keep healthy foods in your home, keep unhealthy foods out, and set regular mealtimes. Encourage routine exercise, noting that even light physical activity can help reduce depression symptoms. Set a time for lights out at bedtime with no use of electronic devices in bed, which can help promote quality and quantity of sleep. If your teen is having problems with sleep, ask the doctor for advice.', 'Help your teen avoid alcohol and other drugs. Your teen may feel as if alcohol, marijuana or other drugs lessen depression symptoms, but in the long run they worsen symptoms and make depression harder to treat. Talk with the doctor or therapist if your teen needs help to deal with alcohol or drug use.', 'Eliminate or limit access to items your teen could use for self-harm. This can include removing or securing guns, and removing sharp items, alcohol or risky medications in your home if you live with a teen who has depression.']",,,,,,,,,,,
diarrhea,,,https://www.mayoclinic.org/diseases-conditions/diarrhea/symptoms-causes/syc-20352241,"Diarrhea — loose, watery and possibly more-frequent bowel movements — is a common problem. It may be present alone or be associated with other symptoms, such as nausea, vomiting, abdominal pain or weight loss.","['Abdominal cramps or pain', 'Bloating', 'Nausea', 'Vomiting', 'Fever', 'Blood in the stool', 'Mucus in the stool', 'Urgent need to have a bowel movement']","['Drink plenty of liquids, including water, broths and juices. Avoid caffeine and alcohol.', 'Add semisolid and low-fiber foods gradually as your bowel movements return to normal. Try soda crackers, toast, eggs, rice or chicken.', 'Avoid certain foods such as dairy products, fatty foods, high-fiber foods or highly seasoned foods for a few days.', ""Ask about anti-diarrheal medications. Over-the-counter anti-diarrheal medications, such as loperamide and bismuth subsalicylate, might help reduce the number of watery bowel movements and control severe symptoms.\nCertain medical conditions and infections — bacterial and parasitic — can be worsened by these medications because they prevent your body from getting rid of what's causing the diarrhea. Some of these medications are not recommended for children. Check with your doctor before taking these medications or giving them to a child."", ""Consider taking probiotics. These microorganisms may help restore a healthy balance to the intestinal tract by boosting the level of good bacteria, though it's not clear if they can help shorten a bout of diarrhea. Probiotics are available in capsule or liquid form and are also added to some foods, such as certain brands of yogurt. Further research is needed to better understand which strains of bacteria are most helpful or what doses are needed.""]",,,,,,,,,,,
diarrhea,antibiotic-associated diarrhea,,https://www.mayoclinic.org/diseases-conditions/antibiotic-associated-diarrhea/symptoms-causes/syc-20352231,"Antibiotic-associated diarrhea refers to passing loose, watery stools three or more times a day after taking medications used to treat bacterial infections (antibiotics).","['Loose stools', 'More-frequent bowel movements']","[""Drink enough fluids. To counter a mild loss of fluids from diarrhea, drink more water or drinks that contain electrolytes. For a more severe loss, drink fluids that contain water, sugar and salt — such as oral rehydration solution. Try broth or fruit juice that isn't high in sugar. Avoid beverages that are high in sugar or contain alcohol or caffeine, such as coffee, tea and colas, which can worsen your symptoms.\nFor infants and children with diarrhea, ask your doctor about using an oral rehydration solution, such as Pedialyte, to replenish fluids and electrolytes."", ""Avoid certain foods. It's a good idea to avoid dairy as well as fatty and spicy foods while you have diarrhea. You can usually get back to a normal diet soon after your symptoms resolve."", ""Ask about anti-diarrheal medications. In some cases of mild antibiotic-associated diarrhea, your doctor may recommend anti-diarrheal medications, such as loperamide (Imodium A-D). But check with your doctor before taking anti-diarrheal medications because they can interfere with your body's ability to eliminate toxins and lead to serious complications. These medications should not be used if you develop C. difficile infection.""]",,,,,,,,,,,
diarrhea,traveler's diarrhea,,https://www.mayoclinic.org/diseases-conditions/travelers-diarrhea/symptoms-causes/syc-20352182,"Traveler's diarrhea is a digestive tract disorder that commonly causes loose stools and abdominal cramps. It's caused by eating contaminated food or drinking contaminated water. Fortunately, traveler's diarrhea usually isn't serious in most people — it's just unpleasant.","['Abrupt onset of passage of three or more looser watery stools a day', 'An urgent need to defecate', 'Abdominal cramps', 'Nausea', 'Vomiting', 'Fever']","['A fever of 102 F (39 C) or higher', 'Persistent vomiting', 'Signs of severe dehydration, including a dry mouth, muscle cramps, decreased urine output, dizziness or fatigue']",,,,,,,,,,,
dizziness,,,https://www.mayoclinic.org/diseases-conditions/dizziness/symptoms-causes/syc-20371787,"Dizziness is a term used to describe a range of sensations, such as feeling faint, woozy, weak or unsteady. Dizziness that creates the false sense that you or your surroundings are spinning or moving is called vertigo.","['A false sense of motion or spinning (vertigo)', 'Lightheadedness or feeling faint', 'Unsteadiness or a loss of balance', 'A feeling of floating, wooziness or heavy-headedness']","['Be aware of the possibility of losing your balance, which can lead to falling and serious injury.', 'Avoid moving suddenly and walk with a cane for stability, if needed.', 'Fall-proof your home by removing tripping hazards such as area rugs and exposed electrical cords. Use nonslip mats on your bath and shower floors. Use good lighting.', ""Sit or lie down immediately when you feel dizzy. Lie still with your eyes closed in a darkened room if you're experiencing a severe episode of vertigo."", 'Avoid driving a car or operating heavy machinery if you experience frequent dizziness without warning.', 'Avoid using caffeine, alcohol, salt and tobacco. Excessive use of these substances can worsen your signs and symptoms.', 'Drink enough fluids, eat a healthy diet, get enough sleep and avoid stress.', 'If your dizziness is caused by a medication, talk with your doctor about discontinuing it or lowering the dose.', ""If your dizziness comes with nausea, try an over-the-counter (nonprescription) antihistamine, such as meclizine or dimenhydrinate (Dramamine). These may cause drowsiness. Nondrowsy antihistamines aren't as effective."", 'If your dizziness is caused by overheating or dehydration, rest in a cool place and drink water or a sports drink (Gatorade, Powerade, others).']",,,,,,,,,,,
farsightedness,,,https://www.mayoclinic.org/diseases-conditions/farsightedness/symptoms-causes/syc-20372495,"Farsightedness (hyperopia) is a common vision condition in which you can see distant objects clearly, but objects nearby may be blurry.","['Nearby objects may appear blurry', 'You need to squint to see clearly', 'You have eyestrain, including burning eyes, and aching in or around the eyes', 'You have general eye discomfort or a headache after doing close tasks, such as reading, writing, computer work or drawing, for a time']","['Have your eyes checked. Do this regularly even if you see well.', 'Control chronic health conditions. Certain conditions, such as diabetes and high blood pressure, can affect your vision if not treated.', 'Protect your eyes from the sun. Wear sunglasses that block ultraviolet (UV) radiation.', 'Prevent eye injuries. Wear protective eyewear when doing certain things, such as playing sports, mowing the lawn, painting or using other products with toxic fumes.', 'Eat healthy foods. Try to eat plenty of leafy greens, other vegetables and fruits. And studies show that your eyes benefit if you also include in your diet fish high in omega-3 fatty acids, such as tuna and salmon.', ""Don't smoke. Just as smoking isn't good for the rest of your body, smoking can adversely affect your eye health as well."", 'Use the right corrective lenses. The right lenses optimize your vision. Having regular exams will ensure that your prescription is correct.', 'Use good lighting. Turn up or add light to see better.', 'Reduce eyestrain. Look away from your computer or near-task work, including reading, every 20 minutes — for 20 seconds — at something 20 feet away.']",,,,,,,,,,,
head lice,,,https://www.mayoclinic.org/diseases-conditions/head-lice/symptoms-causes/syc-20356180,Head lice are tiny insects that feed on blood from the human scalp. Head lice most often affect children. The insects usually spread through direct transfer from the hair of one person to the hair of another.,"['Itching. The most common symptom of head lice is itching on the scalp, neck and ears. This is an allergic reaction to louse bites. When a person has head lice for the first time, itching may not occur for 4 to 6 weeks.', ""Lice on scalp. You may be able to see the lice, but they're often hard to spot because they're small, avoid light and move quickly."", ""Lice eggs (nits) on hair shafts. Nits stick to hair shafts and may be hard to see because they're very tiny. They're easiest to spot around the ears and the hairline of the neck. Empty nits may be easier to spot because they're lighter in color and further from the scalp. However, the presence of nits doesn't mean there are live lice."", 'Sores on the scalp, neck and shoulders. Scratching can lead to small, red bumps that may sometimes get infected with bacteria.']","['Tea tree oil', 'Anise oil', 'Ylang-ylang oil']",,,,,,,,,,,
headache,cluster headache,,https://www.mayoclinic.org/diseases-conditions/cluster-headache/symptoms-causes/syc-20352080,"Cluster headaches, which occur in cyclical patterns or cluster periods, are one of the most painful types of headache. A cluster headache commonly awakens you in the middle of the night with intense pain in or around one eye on one side of your head.","['Excruciating pain that is generally situated in, behind or around one eye, but may radiate to other areas of your face, head and neck', 'One-sided pain', 'Restlessness', 'Excessive tearing', 'Redness of your eye on the affected side', 'Stuffy or runny nose on the affected side', 'Forehead or facial sweating on the affected side', 'Pale skin (pallor) or flushing on your face', 'Swelling around your eye on the affected side', 'Drooping eyelid on the affected side']","['Stick to a regular sleep schedule. Cluster periods can begin when there are changes in your normal sleep schedule. During a cluster period, follow your usual sleep routine.', 'Avoid alcohol. Alcohol consumption, including beer and wine, can quickly trigger a headache during a cluster period.']",,,,,,,,,,,
headache,migraine,,https://www.mayoclinic.org/diseases-conditions/migraine-headache/symptoms-causes/syc-20360201,"A migraine is a headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","['Constipation', 'Mood changes, from depression to euphoria', 'Food cravings', 'Neck stiffness', 'Increased urination', 'Fluid retention', 'Frequent yawning']","['Try relaxation techniques. Biofeedback and other forms of relaxation training teach you ways to deal with stressful situations, which might help reduce the number of migraines you have.', ""Develop a sleeping and eating routine. Don't sleep too much or too little. Set and follow a consistent sleep and wake schedule daily. Try to eat meals at the same time every day."", 'Drink plenty of fluids. Staying hydrated, particularly with water, might help.', 'Keep a headache diary. Recording your symptoms in a headache diary will help you learn more about what triggers your migraines and what treatment is most effective. It will also help your doctor diagnose your condition and track your progress in between visits.', 'Exercise regularly. Regular aerobic exercise reduces tension and can help prevent a migraine. If your doctor agrees, choose aerobic activity you enjoy, such as walking, swimming and cycling. Warm up slowly, however, because sudden, intense exercise can cause headaches.\nRegular exercise can also help you lose weight or maintain a healthy body weight, and obesity is thought to be a factor in migraines.']",,,,,,,,,,,
headache,tension headache,,https://www.mayoclinic.org/diseases-conditions/tension-headache/symptoms-causes/syc-20353977,"A tension-type headache (TTH) is generally a mild to moderate pain that's often described as feeling like a tight band around the head. A tension-type headache is the most common type of headache, yet its causes aren't well understood.","['Dull, aching head pain', 'Sensation of tightness or pressure across the forehead or on the sides and back of the head', 'Tenderness in the scalp, neck and shoulder muscles']","[""Manage your stress level. One way to help reduce stress is by planning ahead and organizing your day. Another way is to allow more time to relax. And if you're caught in a stressful situation, consider stepping back."", 'Go hot or cold. Applying heat or ice — whichever you prefer — to sore muscles may ease a tension-type headache. For heat, use a heating pad set on low, a hot-water bottle, a warm compress or a hot towel. A hot bath or shower also may help. For cold, wrap ice, an ice pack or frozen vegetables in a cloth to protect your skin.', ""Perfect your posture. Good posture can help keep your muscles from tensing. When standing, hold your shoulders back and your head level. Pull in your abdomen and buttocks. When sitting, make sure your thighs are parallel to the ground and your head isn't slumped forward.""]",,,,,,,,,,,
headaches in children,,,https://www.mayoclinic.org/diseases-conditions/headaches-in-children/symptoms-causes/syc-20352099,"Headaches in children are common and usually aren't serious. Like adults, children can develop different types of headaches, including migraines or stress-related (tension) headaches. Children can also have chronic daily headaches.","['Pulsating or throbbing head pain', 'Pain that worsens with activity', 'Nausea', 'Vomiting', 'Abdominal pain', 'Extreme sensitivity to light and sound']","['Read labels carefully and use only the dosages recommended for your child.', ""Don't give doses more frequently than recommended."", ""Don't give your child OTC pain medication more than two or three days a week. Daily use can trigger a medication overuse headache, a type of headache caused by overuse of pain medications."", ""Children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin. This is because aspirin has been linked to Reye's syndrome, a rare but potentially life-threatening condition, in such children. Talk to your doctor if you have concerns.""]",,,,,,,,,,,
hiccups,,,https://www.mayoclinic.org/diseases-conditions/hiccups/symptoms-causes/syc-20352613,"Hiccups are involuntary contractions of the diaphragm — the muscle that separates your chest from your abdomen and plays an important role in breathing. Each contraction is followed by a sudden closure of your vocal cords, which produces the characteristic ""hic"" sound.","['Drinking carbonated beverages', 'Drinking too much alcohol', 'Eating too much', 'Excitement or emotional stress', 'Sudden temperature changes', 'Swallowing air with chewing gum or sucking on candy']","['Breathe into a paper bag', 'Gargle with ice water', 'Hold your breath', 'Sip cold water']",,,,,,,,,,,
